threshold,sensitivity,specificity
-Inf,1,0
-1.0763125736274748,1,0.004273504273504274
-1.074801525975843,1,0.008547008547008548
-1.0725349544983955,0.9913793103448276,0.008547008547008548
-1.070016541745676,0.9913793103448276,0.01282051282051282
-1.0682536528187723,0.9913793103448276,0.017094017094017096
-1.0672462877176843,0.9913793103448276,0.021367521367521368
-1.0664907638918684,0.9913793103448276,0.02564102564102564
-1.0657352400660527,0.9913793103448276,0.029914529914529916
-1.064979716240237,0.9827586206896551,0.03418803418803419
-1.0642241924144211,0.9741379310344828,0.03418803418803419
-1.0637205098638771,0.9741379310344828,0.042735042735042736
-1.0629649860380612,0.9741379310344828,0.04700854700854701
-1.0622094622122453,0.9741379310344828,0.05555555555555555
-1.0617057796617013,0.9741379310344828,0.05982905982905983
-1.0612020971111575,0.9655172413793104,0.05982905982905983
-1.0604465732853416,0.9655172413793104,0.07264957264957266
-1.0596910494595257,0.9482758620689655,0.07264957264957266
-1.0589355256337099,0.9396551724137931,0.07692307692307693
-1.058180001807894,0.9310344827586207,0.0811965811965812
-1.0576763192573502,0.9224137931034483,0.08974358974358974
-1.0571726367068064,0.9224137931034483,0.09401709401709402
-1.0566689541562624,0.9224137931034483,0.09829059829059829
-1.0561652716057184,0.9224137931034483,0.10256410256410256
-1.0556615890551746,0.9137931034482759,0.1111111111111111
-1.0551579065046308,0.9051724137931034,0.1111111111111111
-1.0546542239540866,0.896551724137931,0.11538461538461539
-1.0541505414035428,0.8879310344827587,0.11965811965811966
-1.053646858852999,0.8879310344827587,0.12393162393162394
-1.0528913350271831,0.8879310344827587,0.14957264957264957
-1.0521358112013672,0.8879310344827587,0.1581196581196581
-1.0516321286508235,0.8879310344827587,0.17094017094017094
-1.0511284461002794,0.8879310344827587,0.18376068376068377
-1.0506247635497354,0.8793103448275862,0.18376068376068377
-1.0501210809991917,0.8620689655172413,0.20085470085470086
-1.0496173984486477,0.8620689655172413,0.20512820512820512
-1.0491137158981036,0.8620689655172413,0.21794871794871795
-1.0486100333475599,0.8362068965517241,0.2222222222222222
-1.048106350797016,0.8275862068965517,0.2222222222222222
-1.0473508269712002,0.8275862068965517,0.23076923076923078
-1.0465953031453843,0.8275862068965517,0.23931623931623933
-1.0460916205948403,0.8189655172413793,0.25213675213675213
-1.0455879380442963,0.8103448275862069,0.2564102564102564
-1.0450842554937525,0.8017241379310345,0.26495726495726496
-1.0445805729432087,0.8017241379310345,0.2777777777777778
-1.0440768903926647,0.7931034482758621,0.2863247863247863
-1.0435732078421207,0.7844827586206896,0.2863247863247863
-1.043069525291577,0.7844827586206896,0.29914529914529914
-1.0425658427410331,0.7844827586206896,0.3076923076923077
-1.042062160190489,0.7672413793103449,0.31196581196581197
-1.0415584776399451,0.7672413793103449,0.3247863247863248
-1.0408029538141292,0.7672413793103449,0.3418803418803419
-1.0400474299883133,0.7586206896551724,0.358974358974359
-1.0392919061624974,0.75,0.3717948717948718
-1.0385363823366818,0.7413793103448276,0.3717948717948718
-1.0380326997861378,0.7327586206896551,0.39316239316239315
-1.037529017235594,0.7241379310344828,0.4017094017094017
-1.03702533468505,0.7068965517241379,0.41025641025641024
-1.036521652134506,0.7068965517241379,0.42735042735042733
-1.0360179695839622,0.7068965517241379,0.4358974358974359
-1.0355142870334184,0.7068965517241379,0.4444444444444444
-1.0350106044828744,0.6982758620689655,0.452991452991453
-1.0345069219323304,0.6724137931034483,0.452991452991453
-1.0340032393817866,0.6551724137931034,0.45726495726495725
-1.0334995568312426,0.6551724137931034,0.4700854700854701
-1.0329958742806986,0.6551724137931034,0.47435897435897434
-1.0324921917301548,0.646551724137931,0.49572649572649574
-1.031988509179611,0.6293103448275862,0.49572649572649574
-1.031484826629067,0.6293103448275862,0.5
-1.030981144078523,0.6206896551724138,0.5042735042735043
-1.0304774615279793,0.6206896551724138,0.5085470085470085
-1.0297219377021634,0.6206896551724138,0.5128205128205128
-1.0289664138763475,0.6120689655172413,0.5170940170940171
-1.0282108900505316,0.6120689655172413,0.5213675213675214
-1.0274553662247157,0.6120689655172413,0.5384615384615384
-1.0266998423988998,0.603448275862069,0.5470085470085471
-1.025944318573084,0.603448275862069,0.5598290598290598
-1.02544063602254,0.603448275862069,0.5641025641025641
-1.0249369534719963,0.5948275862068966,0.5726495726495726
-1.0244332709214523,0.5775862068965517,0.5854700854700855
-1.0239295883709083,0.5689655172413793,0.594017094017094
-1.0231740645450924,0.5603448275862069,0.6025641025641025
-1.0224185407192767,0.5603448275862069,0.6111111111111112
-1.0216630168934608,0.5603448275862069,0.6196581196581197
-1.020403810517101,0.5603448275862069,0.6239316239316239
-1.0191446041407413,0.5603448275862069,0.6367521367521367
-1.0183890803149254,0.5517241379310345,0.6538461538461539
-1.0178853977643816,0.5431034482758621,0.6538461538461539
-1.0173817152138378,0.5431034482758621,0.6581196581196581
-1.0168780326632936,0.5344827586206896,0.6581196581196581
-1.0163743501127498,0.5344827586206896,0.6666666666666666
-1.015870667562206,0.5344827586206896,0.6752136752136753
-1.015366985011662,0.5344827586206896,0.6794871794871795
-1.014863302461118,0.5344827586206896,0.688034188034188
-1.0143596199105742,0.5172413793103449,0.6923076923076923
-1.0136040960847583,0.5172413793103449,0.6965811965811965
-1.0128485722589424,0.5,0.7008547008547008
-1.0123448897083986,0.49137931034482757,0.7008547008547008
-1.0118412071578546,0.49137931034482757,0.7051282051282052
-1.0113375246073106,0.49137931034482757,0.7094017094017094
-1.0105820007814947,0.49137931034482757,0.7136752136752137
-1.009826476955679,0.4827586206896552,0.7136752136752137
